"","Artist","Song","Album","Year","Sales","word","n","duration_ms","popularity","speechiness","danceability","tempo"
"252","2pac","Changes","Greatest Hits",2011,5330000,"worry",37,NA,NA,NA,NA,NA
"253","2pac","Changes","Greatest Hits",2011,5330000,"bout",46,NA,NA,NA,NA,NA
"254","2pac","Changes","Greatest Hits",2011,5330000,"pay",38,NA,NA,NA,NA,NA
"255","2pac","Changes","Greatest Hits",2011,5330000,"backs",5,NA,NA,NA,NA,NA
"256","2pac","Changes","Greatest Hits",2011,5330000,"buck",21,NA,NA,NA,NA,NA
"257","2pac","Changes","Greatest Hits",2011,5330000,"that",630,NA,NA,NA,NA,NA
"258","2pac","Changes","Greatest Hits",2011,5330000,"roughed",1,NA,NA,NA,NA,NA
"259","2pac","Changes","Greatest Hits",2011,5330000,"comin",41,NA,NA,NA,NA,NA
"260","2pac","Changes","Greatest Hits",2011,5330000,"after",28,NA,NA,NA,NA,NA
"261","2pac","Changes","Greatest Hits",2011,5330000,"these",187,NA,NA,NA,NA,NA
"262","2pac","Changes","Greatest Hits",2011,5330000,"years",38,NA,NA,NA,NA,NA
"263","2pac","Changes","Greatest Hits",2011,5330000,"rat",2,NA,NA,NA,NA,NA
"264","2pac","Changes","Greatest Hits",2011,5330000,"tat",4,NA,NA,NA,NA,NA
"265","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"makaveli",36,NA,NA,NA,NA,NA
"266","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"in",1159,NA,NA,NA,NA,NA
"267","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"this",538,NA,NA,NA,NA,NA
"268","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"killuminati",5,NA,NA,NA,NA,NA
"269","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"all",602,NA,NA,NA,NA,NA
"270","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"through",129,NA,NA,NA,NA,NA
"271","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"your",518,NA,NA,NA,NA,NA
"272","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"body",60,NA,NA,NA,NA,NA
"273","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"the",3040,NA,NA,NA,NA,NA
"274","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"blow's",1,NA,NA,NA,NA,NA
"275","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"like",459,NA,NA,NA,NA,NA
"276","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"a",2058,NA,NA,NA,NA,NA
"277","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"twelve",3,NA,NA,NA,NA,NA
"278","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"gauge",9,NA,NA,NA,NA,NA
"279","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"shotty",3,NA,NA,NA,NA,NA
"280","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"uh",55,NA,NA,NA,NA,NA
"281","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"feel",117,NA,NA,NA,NA,NA
"282","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"me",1678,NA,NA,NA,NA,NA
"283","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"and",1701,NA,NA,NA,NA,NA
"284","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"god",140,NA,NA,NA,NA,NA
"285","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"said",33,NA,NA,NA,NA,NA
"286","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"he",130,NA,NA,NA,NA,NA
"287","2pac","Hail Mary","Hip-Hop Classics 1996",1996,NA,"should",27,NA,NA,NA,NA,NA
